Pyramid
0;0;0;255;255;255
1;0;0;255;255;255
2;0;0;255;255;255
3;0;0;255;255;255
4;0;0;255;255;255
5;0;0;255;255;255
6;0;0;255;255;255

0;0;1;255;255;255
0;0;2;255;255;255
0;0;3;255;255;255
0;0;4;255;255;255
0;0;5;255;255;255
0;0;6;255;255;255

6;0;1;255;255;255
6;0;2;255;255;255
6;0;3;255;255;255
6;0;4;255;255;255
6;0;5;255;255;255
6;0;6;255;255;255

1;0;6;255;255;255
2;0;6;255;255;255
3;0;6;255;255;255
4;0;6;255;255;255
5;0;6;255;255;255

1;1;1;255;255;255
2;1;1;255;255;255
3;1;1;255;255;255
4;1;1;255;255;255
5;1;1;255;255;255

1;1;2;255;255;255
1;1;3;255;255;255
1;1;4;255;255;255
1;1;5;255;255;255

2;1;5;255;255;255
3;1;5;255;255;255
4;1;5;255;255;255
5;1;5;255;255;255

5;1;2;255;255;255
5;1;3;255;255;255
5;1;4;255;255;255

2;2;2;255;255;255
3;2;2;255;255;255
4;2;2;255;255;255

2;2;3;255;255;255
2;2;4;255;255;255

4;2;3;255;255;255
4;2;4;255;255;255

3;2;4;255;255;255

3;3;3;255;255;255
