Paraboloide
0;0;0;255;0;255
0;1;1;255;0;255
0;4;2;255;0;255
0;9;3;255;0;255
0;16;4;255;0;255
0;25;5;255;0;255
0;36;6;255;0;255
0;49;7;255;0;255
0;64;8;255;0;255
0;81;9;255;0;255
1;1;0;255;0;255
1;2;1;255;0;255
1;5;2;255;0;255
1;10;3;255;0;255
1;17;4;255;0;255
1;26;5;255;0;255
1;37;6;255;0;255
1;50;7;255;0;255
1;65;8;255;0;255
1;82;9;255;0;255
2;4;0;255;0;255
2;5;1;255;0;255
2;8;2;255;0;255
2;13;3;255;0;255
2;20;4;255;0;255
2;29;5;255;0;255
2;40;6;255;0;255
2;53;7;255;0;255
2;68;8;255;0;255
2;85;9;255;0;255
3;9;0;255;0;255
3;10;1;255;0;255
3;13;2;255;0;255
3;18;3;255;0;255
3;25;4;255;0;255
3;34;5;255;0;255
3;45;6;255;0;255
3;58;7;255;0;255
3;73;8;255;0;255
3;90;9;255;0;255
4;16;0;255;0;255
4;17;1;255;0;255
4;20;2;255;0;255
4;25;3;255;0;255
4;32;4;255;0;255
4;41;5;255;0;255
4;52;6;255;0;255
4;65;7;255;0;255
4;80;8;255;0;255
4;97;9;255;0;255
5;25;0;255;0;255
5;26;1;255;0;255
5;29;2;255;0;255
5;34;3;255;0;255
5;41;4;255;0;255
5;50;5;255;0;255
5;61;6;255;0;255
5;74;7;255;0;255
5;89;8;255;0;255
5;106;9;255;0;255
6;36;0;255;0;255
6;37;1;255;0;255
6;40;2;255;0;255
6;45;3;255;0;255
6;52;4;255;0;255
6;61;5;255;0;255
6;72;6;255;0;255
6;85;7;255;0;255
6;100;8;255;0;255
6;117;9;255;0;255
7;49;0;255;0;255
7;50;1;255;0;255
7;53;2;255;0;255
7;58;3;255;0;255
7;65;4;255;0;255
7;74;5;255;0;255
7;85;6;255;0;255
7;98;7;255;0;255
7;113;8;255;0;255
7;130;9;255;0;255
8;64;0;255;0;255
8;65;1;255;0;255
8;68;2;255;0;255
8;73;3;255;0;255
8;80;4;255;0;255
8;89;5;255;0;255
8;100;6;255;0;255
8;113;7;255;0;255
8;128;8;255;0;255
8;145;9;255;0;255
9;81;0;255;0;255
9;82;1;255;0;255
9;85;2;255;0;255
9;90;3;255;0;255
9;97;4;255;0;255
9;106;5;255;0;255
9;117;6;255;0;255
9;130;7;255;0;255
9;145;8;255;0;255
9;162;9;255;0;255
